Frame ID | Spatial Relations
F0019 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0020 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0021 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0022 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0023 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0024 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0025 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0026 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0027 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0028 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0029 | [human_body] is behind [container_box], [human_body] is holding [red_box] (score: 0.81), [human_body] is holding [container_box] (score: 0.79), [human_body] is holding [yellow_box] (score: 0.75), [human_body] is touching [component_box] (score: 0.67), [human_body] is on [operator_hand] (score: 0.12), [container_box] is on [red_box] (score: 0.14), [container_box] is on [component_box] (score: 0.10), [operator_hand] is on [human_body] (score: 0.20), [red_box] is on [container_box] (score: 0.11), [yellow_box] is on [container_box] (score: 0.29), [yellow_box] is on [red_box] (score: 0.23), [yellow_box] is on [component_box] (score: 0.15), [component_box] is on [container_box] (score: 0.35), [component_box] is on [red_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.18)
F0030 | [human_body] is behind [container_box], [human_body] is touching [container_box] (score: 0.81), [human_body] is holding [red_box] (score: 0.75), [human_body] is touching [yellow_box] (score: 0.73), [human_body] is touching [component_box] (score: 0.66), [container_box] is on [red_box] (score: 0.23), [container_box] is in front of [component_box] (score: 0.10), [container_box] is below [human_body] (score: 0.09), [red_box] is in front of [container_box] (score: 0.19), [red_box] is in front of [component_box] (score: 0.10), [yellow_box] is behind [component_box] (score: 0.24), [yellow_box] is on [container_box] (score: 0.18), [yellow_box] is on [red_box] (score: 0.15), [component_box] is on [container_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.19), [component_box] is on [red_box] (score: 0.19)
F0031 | [human_body] is behind [container_box], [human_body] is touching [container_box] (score: 0.81), [human_body] is holding [red_box] (score: 0.75), [human_body] is touching [yellow_box] (score: 0.73), [human_body] is touching [component_box] (score: 0.66), [container_box] is on [red_box] (score: 0.23), [container_box] is in front of [component_box] (score: 0.10), [container_box] is below [human_body] (score: 0.09), [red_box] is in front of [container_box] (score: 0.19), [red_box] is in front of [component_box] (score: 0.10), [yellow_box] is behind [component_box] (score: 0.24), [yellow_box] is on [container_box] (score: 0.18), [yellow_box] is on [red_box] (score: 0.15), [component_box] is on [container_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.19), [component_box] is on [red_box] (score: 0.19)
F0032 | [human_body] is behind [container_box], [human_body] is touching [container_box] (score: 0.81), [human_body] is holding [red_box] (score: 0.75), [human_body] is touching [yellow_box] (score: 0.73), [human_body] is touching [component_box] (score: 0.66), [container_box] is on [red_box] (score: 0.23), [container_box] is in front of [component_box] (score: 0.10), [container_box] is below [human_body] (score: 0.09), [red_box] is in front of [container_box] (score: 0.19), [red_box] is in front of [component_box] (score: 0.10), [yellow_box] is behind [component_box] (score: 0.24), [yellow_box] is on [container_box] (score: 0.18), [yellow_box] is on [red_box] (score: 0.15), [component_box] is on [container_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.19), [component_box] is on [red_box] (score: 0.19)
F0033 | [human_body] is behind [container_box], [human_body] is touching [container_box] (score: 0.81), [human_body] is holding [red_box] (score: 0.75), [human_body] is touching [yellow_box] (score: 0.73), [human_body] is touching [component_box] (score: 0.66), [container_box] is on [red_box] (score: 0.23), [container_box] is in front of [component_box] (score: 0.10), [container_box] is below [human_body] (score: 0.09), [red_box] is in front of [container_box] (score: 0.19), [red_box] is in front of [component_box] (score: 0.10), [yellow_box] is behind [component_box] (score: 0.24), [yellow_box] is on [container_box] (score: 0.18), [yellow_box] is on [red_box] (score: 0.15), [component_box] is on [container_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.19), [component_box] is on [red_box] (score: 0.19)
F0034 | [human_body] is behind [container_box], [human_body] is touching [container_box] (score: 0.81), [human_body] is holding [red_box] (score: 0.75), [human_body] is touching [yellow_box] (score: 0.73), [human_body] is touching [component_box] (score: 0.66), [container_box] is on [red_box] (score: 0.23), [container_box] is in front of [component_box] (score: 0.10), [container_box] is below [human_body] (score: 0.09), [red_box] is in front of [container_box] (score: 0.19), [red_box] is in front of [component_box] (score: 0.10), [yellow_box] is behind [component_box] (score: 0.24), [yellow_box] is on [container_box] (score: 0.18), [yellow_box] is on [red_box] (score: 0.15), [component_box] is on [container_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.19), [component_box] is on [red_box] (score: 0.19)
F0035 | [human_body] is behind [container_box], [human_body] is touching [container_box] (score: 0.81), [human_body] is holding [red_box] (score: 0.75), [human_body] is touching [yellow_box] (score: 0.73), [human_body] is touching [component_box] (score: 0.66), [container_box] is on [red_box] (score: 0.23), [container_box] is in front of [component_box] (score: 0.10), [container_box] is below [human_body] (score: 0.09), [red_box] is in front of [container_box] (score: 0.19), [red_box] is in front of [component_box] (score: 0.10), [yellow_box] is behind [component_box] (score: 0.24), [yellow_box] is on [container_box] (score: 0.18), [yellow_box] is on [red_box] (score: 0.15), [component_box] is on [container_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.19), [component_box] is on [red_box] (score: 0.19)
F0036 | [human_body] is behind [container_box], [human_body] is touching [container_box] (score: 0.81), [human_body] is holding [red_box] (score: 0.75), [human_body] is touching [yellow_box] (score: 0.73), [human_body] is touching [component_box] (score: 0.66), [container_box] is on [red_box] (score: 0.23), [container_box] is in front of [component_box] (score: 0.10), [container_box] is below [human_body] (score: 0.09), [red_box] is in front of [container_box] (score: 0.19), [red_box] is in front of [component_box] (score: 0.10), [yellow_box] is behind [component_box] (score: 0.24), [yellow_box] is on [container_box] (score: 0.18), [yellow_box] is on [red_box] (score: 0.15), [component_box] is on [container_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.19), [component_box] is on [red_box] (score: 0.19)
F0037 | [human_body] is behind [container_box], [human_body] is touching [container_box] (score: 0.81), [human_body] is holding [red_box] (score: 0.75), [human_body] is touching [yellow_box] (score: 0.73), [human_body] is touching [component_box] (score: 0.66), [container_box] is on [red_box] (score: 0.23), [container_box] is in front of [component_box] (score: 0.10), [container_box] is below [human_body] (score: 0.09), [red_box] is in front of [container_box] (score: 0.19), [red_box] is in front of [component_box] (score: 0.10), [yellow_box] is behind [component_box] (score: 0.24), [yellow_box] is on [container_box] (score: 0.18), [yellow_box] is on [red_box] (score: 0.15), [component_box] is on [container_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.19), [component_box] is on [red_box] (score: 0.19)
F0038 | [human_body] is behind [container_box], [human_body] is touching [container_box] (score: 0.81), [human_body] is holding [red_box] (score: 0.75), [human_body] is touching [yellow_box] (score: 0.73), [human_body] is touching [component_box] (score: 0.66), [container_box] is on [red_box] (score: 0.23), [container_box] is in front of [component_box] (score: 0.10), [container_box] is below [human_body] (score: 0.09), [red_box] is in front of [container_box] (score: 0.19), [red_box] is in front of [component_box] (score: 0.10), [yellow_box] is behind [component_box] (score: 0.24), [yellow_box] is on [container_box] (score: 0.18), [yellow_box] is on [red_box] (score: 0.15), [component_box] is on [container_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.19), [component_box] is on [red_box] (score: 0.19)
F0039 | [human_body] is behind [container_box], [human_body] is touching [container_box] (score: 0.81), [human_body] is holding [red_box] (score: 0.75), [human_body] is touching [yellow_box] (score: 0.73), [human_body] is touching [component_box] (score: 0.66), [container_box] is on [red_box] (score: 0.23), [container_box] is in front of [component_box] (score: 0.10), [container_box] is below [human_body] (score: 0.09), [red_box] is in front of [container_box] (score: 0.19), [red_box] is in front of [component_box] (score: 0.10), [yellow_box] is behind [component_box] (score: 0.24), [yellow_box] is on [container_box] (score: 0.18), [yellow_box] is on [red_box] (score: 0.15), [component_box] is on [container_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.19), [component_box] is on [red_box] (score: 0.19)
F0040 | [human_body] is behind [container_box], [human_body] is touching [container_box] (score: 0.81), [human_body] is holding [red_box] (score: 0.75), [human_body] is touching [yellow_box] (score: 0.73), [human_body] is touching [component_box] (score: 0.66), [container_box] is on [red_box] (score: 0.23), [container_box] is in front of [component_box] (score: 0.10), [container_box] is below [human_body] (score: 0.09), [red_box] is in front of [container_box] (score: 0.19), [red_box] is in front of [component_box] (score: 0.10), [yellow_box] is behind [component_box] (score: 0.24), [yellow_box] is on [container_box] (score: 0.18), [yellow_box] is on [red_box] (score: 0.15), [component_box] is on [container_box] (score: 0.28), [component_box] is in front of [yellow_box] (score: 0.19), [component_box] is on [red_box] (score: 0.19)
