frame,timestamp_sec,hand_red_box_dist_cm,hand_yellow_box_dist_cm
198,6.6,104.99,139.07
199,6.633,105.38,140.8
200,6.667,101.97,139.42
201,6.7,103.32,139.49
202,6.733,101.82,137.42
203,6.767,101.89,137.96
204,6.8,99.96,140.06
205,6.833,98.79,136.69
206,6.867,97.37,138.75
207,6.9,95.55,136.12
208,6.933,95.25,134.99
209,6.967,96.16,136.7
210,7.0,94.1,135.59
211,7.033,92.58,135.05
212,7.067,91.91,134.76
213,7.1,89.84,135.58
214,7.133,91.37,136.33
215,7.167,90.4,133.96
216,7.2,89.65,132.14
217,7.233,88.62,133.18
218,7.267,87.7,134.69
219,7.3,85.37,133.06
220,7.333,85.39,132.8
221,7.367,83.78,133.09
222,7.4,83.85,129.22
223,7.433,80.56,131.11
224,7.467,81.65,131.66
225,7.5,79.53,128.37
226,7.533,79.37,127.62
227,7.567,77.6,127.88
228,7.6,77.72,128.21
229,7.633,77.23,127.78
230,7.667,74.46,128.81
231,7.7,74.2,126.79
232,7.733,74.17,127.3
233,7.767,71.32,127.68
234,7.8,72.85,128.06
235,7.833,70.52,126.76
236,7.867,70.43,125.86
237,7.9,68.75,123.61
238,7.933,68.57,123.24
239,7.967,66.41,124.56
240,8.0,64.75,124.73
241,8.033,63.67,124.45
242,8.067,64.69,121.39
243,8.1,63.07,121.56
244,8.133,62.25,121.68
245,8.167,61.02,122.49
246,8.2,61.35,121.21
247,8.233,59.6,121.91
248,8.267,58.47,121.29
249,8.3,57.31,121.1
250,8.333,57.71,120.5
251,8.367,56.19,118.76
252,8.4,54.8,119.52
253,8.433,54.19,118.87
254,8.467,51.74,117.53
255,8.5,50.88,116.17
256,8.533,51.76,116.06
257,8.567,51.15,115.73
258,8.6,48.6,116.93
259,8.633,49.73,116.5
260,8.667,46.74,114.88
261,8.7,47.59,115.3
262,8.733,46.72,114.56
263,8.767,43.35,115.87
264,8.8,44.93,112.73
265,8.833,41.47,114.44
266,8.867,43.16,112.71
267,8.9,40.72,114.94
268,8.933,40.58,111.97
269,8.967,39.9,110.79
270,9.0,37.34,111.68
271,9.033,38.03,113.33
272,9.067,37.16,113.2
273,9.1,36.59,110.87
274,9.133,34.24,110.1
275,9.167,33.49,109.51
276,9.2,31.71,108.55
277,9.233,31.17,110.83
278,9.267,29.34,107.4
279,9.3,29.85,106.89
280,9.333,27.38,106.08
281,9.367,27.89,107.51
282,9.4,26.77,108.09
283,9.433,24.43,107.53
284,9.467,24.84,106.84
285,9.5,25.12,106.34
286,9.533,23.2,105.61
287,9.567,21.49,105.66
288,9.6,21.26,103.5
289,9.633,21.03,105.3
290,9.667,19.12,105.55
291,9.7,17.41,105.1
292,9.733,16.79,103.97
293,9.767,16.31,100.88
294,9.8,16.2,101.24
295,9.833,13.19,101.07
296,9.867,13.35,101.05
297,9.9,11.48,100.15
298,9.933,11.48,102.16
299,9.967,11.41,98.49
300,10.0,4.37,100.86
301,10.033,4.29,99.07
302,10.067,2.44,100.72
303,10.1,5.11,99.21
304,10.133,2.33,99.73
305,10.167,3.16,100.58
306,10.2,5.37,99.06
307,10.233,2.36,100.69
308,10.267,3.51,100.64
309,10.3,3.49,99.91
310,10.333,5.41,100.75
311,10.367,4.18,100.56
312,10.4,4.87,99.48
313,10.433,4.56,99.19
314,10.467,4.96,99.58
315,10.5,5.92,100.06
316,10.533,5.46,99.6
317,10.567,4.61,99.78
318,10.6,2.98,100.61
319,10.633,5.62,99.61
320,10.667,2.96,99.51
321,10.7,2.07,99.22
322,10.733,2.15,100.16
323,10.767,4.11,99.24
324,10.8,2.38,99.47
325,10.833,4.33,99.42
326,10.867,5.77,100.98
327,10.9,2.3,100.92
328,10.933,4.11,99.24
329,10.967,5.94,99.19
330,11.0,5.6,99.94
331,11.033,2.63,99.54
332,11.067,3.51,100.18
333,11.1,2.84,100.78
334,11.133,3.85,100.36
335,11.167,3.82,100.28
336,11.2,5.98,100.82
337,11.233,4.19,100.92
338,11.267,3.66,100.93
339,11.3,3.72,99.53
340,11.333,5.25,100.88
341,11.367,3.93,100.84
342,11.4,2.34,100.11
343,11.433,5.96,100.86
344,11.467,2.86,100.52
345,11.5,2.52,99.89
346,11.533,5.88,100.78
347,11.567,4.87,100.95
348,11.6,5.2,99.16
349,11.633,5.31,100.85
350,11.667,5.98,100.77
351,11.7,2.21,100.4
352,11.733,4.26,100.51
353,11.767,2.76,99.75
354,11.8,5.35,99.52
355,11.833,5.42,100.42
356,11.867,4.82,99.21
357,11.9,3.45,100.79
358,11.933,4.73,99.14
359,11.967,3.99,99.52
360,12.0,5.16,100.98
361,12.033,3.82,99.99
362,12.067,2.58,99.12
363,12.1,5.67,99.12
364,12.133,5.77,99.38
365,12.167,3.44,99.08
366,12.2,3.04,99.96
367,12.233,2.23,99.04
368,12.267,5.55,100.21
369,12.3,2.37,100.46
370,12.333,2.03,100.16
371,12.367,5.07,100.61
372,12.4,3.75,99.69
373,12.433,4.16,99.91
374,12.467,4.38,99.89
375,12.5,2.24,99.73
376,12.533,3.57,100.34
377,12.567,3.52,99.01
378,12.6,2.53,100.51
379,12.633,3.35,99.58
380,12.667,4.68,100.31
381,12.7,2.54,100.14
382,12.733,4.14,99.12
383,12.767,4.4,99.35
384,12.8,5.43,99.25
385,12.833,5.02,99.81
386,12.867,3.35,99.03
387,12.9,5.39,100.43
388,12.933,2.45,100.59
389,12.967,5.21,100.15
390,13.0,3.75,100.6
391,13.033,3.93,100.7
392,13.067,4.12,99.2
393,13.1,5.1,100.82
394,13.133,3.3,99.46
395,13.167,4.02,99.11
396,13.2,4.96,99.02
397,13.233,2.19,100.48
398,13.267,5.81,100.24
399,13.3,4.2,100.5
400,13.333,3.9,100.01
401,13.367,2.73,99.33
402,13.4,3.71,99.62
403,13.433,3.5,99.85
404,13.467,4.75,99.35
405,13.5,5.77,100.51
406,13.533,3.93,100.37
407,13.567,3.88,99.88
408,13.6,2.55,99.89
409,13.633,4.37,99.48
410,13.667,2.95,100.73
411,13.7,5.44,100.09
412,13.733,3.51,99.14
413,13.767,3.29,100.05
414,13.8,2.33,100.12
415,13.833,3.1,99.24
416,13.867,2.0,100.71
417,13.9,5.48,100.38
418,13.933,4.11,99.58
419,13.967,5.43,99.79
420,14.0,5.49,99.35
421,14.033,2.52,100.47
422,14.067,3.73,100.54
423,14.1,4.83,99.75
424,14.133,4.72,99.82
425,14.167,2.43,100.23
426,14.2,3.55,100.02
427,14.233,3.11,99.79
428,14.267,2.42,99.92
429,14.3,3.78,99.82
430,14.333,3.97,99.11
431,14.367,4.66,99.51
432,14.4,2.32,99.53
433,14.433,2.53,99.22
434,14.467,2.25,100.43
435,14.5,3.39,99.46
436,14.533,3.93,100.35
437,14.567,5.89,100.83
438,14.6,5.11,99.24
439,14.633,2.92,100.95
440,14.667,5.37,99.22
441,14.7,5.63,99.07
442,14.733,4.01,99.54
443,14.767,4.58,99.77
444,14.8,2.36,100.16
445,14.833,3.13,100.11
446,14.867,2.74,100.05
447,14.9,5.06,99.63
448,14.933,4.9,100.09
449,14.967,3.07,100.4
450,15.0,3.99,101.07
451,15.033,4.02,100.34
452,15.067,5.58,99.63
453,15.1,5.13,99.46
454,15.133,6.62,96.21
455,15.167,5.97,97.76
456,15.2,8.48,95.69
457,15.233,6.33,94.29
458,15.267,8.44,94.17
459,15.3,8.5,95.14
460,15.333,8.48,94.58
461,15.367,11.3,93.33
462,15.4,10.59,91.79
463,15.433,9.11,91.66
464,15.467,9.89,90.11
465,15.5,9.99,91.58
466,15.533,11.45,89.24
467,15.567,12.35,89.24
468,15.6,14.23,88.14
469,15.633,15.39,88.78
470,15.667,15.93,88.77
471,15.7,13.23,86.13
472,15.733,15.82,87.07
473,15.767,14.17,86.64
474,15.8,14.34,83.44
475,15.833,16.04,82.72
476,15.867,17.18,84.34
477,15.9,16.03,81.78
478,15.933,18.26,81.95
479,15.967,18.96,81.79
480,16.0,20.25,82.43
481,16.033,19.4,78.89
482,16.067,19.55,79.8
483,16.1,18.75,78.67
484,16.133,20.39,79.05
485,16.167,22.71,78.37
486,16.2,22.73,76.46
487,16.233,24.02,77.8
488,16.267,21.56,75.83
489,16.3,25.32,73.86
490,16.333,22.5,76.13
491,16.367,26.26,72.89
492,16.4,25.04,73.69
493,16.433,25.43,71.37
494,16.467,24.37,72.75
495,16.5,27.94,71.12
496,16.533,25.64,69.72
497,16.567,26.53,70.12
498,16.6,28.4,70.54
499,16.633,28.49,69.01
500,16.667,30.77,68.62
501,16.7,30.08,67.23
502,16.733,31.29,67.5
503,16.767,30.65,67.67
504,16.8,31.9,65.35
505,16.833,32.98,66.52
506,16.867,32.86,64.05
507,16.9,32.16,63.56
508,16.933,34.78,63.73
509,16.967,35.41,62.58
510,17.0,33.07,62.03
511,17.033,35.23,62.42
512,17.067,35.59,61.72
513,17.1,34.55,59.69
514,17.133,35.23,58.28
515,17.167,37.91,58.54
516,17.2,37.94,59.44
517,17.233,36.6,56.22
518,17.267,37.78,57.94
519,17.3,39.19,57.77
520,17.333,40.0,55.03
521,17.367,37.82,54.37
522,17.4,41.58,52.92
523,17.433,39.79,53.04
524,17.467,40.89,54.22
525,17.5,42.9,51.09
526,17.533,43.1,51.61
527,17.567,42.43,50.07
528,17.6,41.15,50.92
529,17.633,44.38,50.74
530,17.667,43.51,49.18
531,17.7,42.72,49.25
532,17.733,46.14,49.28
533,17.767,45.94,48.55
534,17.8,46.99,45.58
535,17.833,46.95,46.34
536,17.867,48.42,44.71
537,17.9,48.15,43.57
538,17.933,47.05,44.7
539,17.967,48.82,43.7
540,18.0,47.78,43.94
541,18.033,47.56,42.13
542,18.067,49.1,41.0
543,18.1,50.96,41.24
544,18.133,50.12,41.38
545,18.167,50.13,38.99
546,18.2,53.93,40.18
547,18.233,51.09,37.53
548,18.267,53.82,39.01
549,18.3,52.15,36.35
550,18.333,54.84,36.51
551,18.367,54.1,34.86
552,18.4,56.45,35.66
553,18.433,54.11,34.67
554,18.467,57.75,33.04
555,18.5,55.77,32.19
556,18.533,55.59,33.66
557,18.567,59.16,32.57
558,18.6,57.17,31.69
559,18.633,57.12,30.12
560,18.667,59.25,31.55
561,18.7,60.62,28.81
562,18.733,58.06,29.58
563,18.767,59.01,28.51
564,18.8,61.12,26.56
565,18.833,60.29,28.15
566,18.867,60.68,25.1
567,18.9,61.14,26.2
568,18.933,64.41,24.85
569,18.967,61.82,23.61
570,19.0,65.14,22.95
571,19.033,63.62,22.07
572,19.067,66.13,22.87
573,19.1,63.8,21.59
574,19.133,67.8,21.34
575,19.167,67.52,21.32
576,19.2,67.41,20.92
577,19.233,66.13,20.93
578,19.267,68.88,18.43
579,19.3,69.89,17.03
580,19.333,70.57,16.36
581,19.367,70.88,18.5
582,19.4,71.07,15.9
583,19.433,70.44,15.46
584,19.467,69.72,14.87
585,19.5,71.25,14.04
586,19.533,70.55,13.38
587,19.567,72.45,13.82
588,19.6,74.75,11.8
589,19.633,72.98,11.17
590,19.667,74.39,10.99
591,19.7,74.28,10.17
592,19.733,73.01,8.78
593,19.767,73.67,9.23
594,19.8,75.14,8.82
595,19.833,77.43,6.92
596,19.867,78.45,7.45
597,19.9,75.96,8.07
598,19.933,77.75,7.58
599,19.967,79.85,4.21
600,20.0,77.17,2.85
601,20.033,79.22,4.81
602,20.067,78.01,3.88
603,20.1,80.79,3.2
604,20.133,77.46,2.38
605,20.167,77.21,4.12
606,20.2,79.91,4.68
607,20.233,77.72,2.16
608,20.267,78.35,2.97
609,20.3,77.59,3.69
610,20.333,77.74,2.69
611,20.367,78.22,2.24
612,20.4,80.46,4.94
613,20.433,80.0,4.07
614,20.467,80.78,3.33
615,20.5,77.46,4.37
616,20.533,77.68,3.77
617,20.567,77.5,3.99
618,20.6,77.27,4.57
619,20.633,78.09,2.29
620,20.667,77.09,3.63
621,20.7,77.66,4.55
622,20.733,78.89,2.77
623,20.767,80.93,2.83
624,20.8,80.86,2.56
625,20.833,79.75,3.34
626,20.867,80.58,5.18
627,20.9,78.96,3.59
628,20.933,77.94,5.51
629,20.967,80.05,4.21
630,21.0,80.04,5.69
631,21.033,78.59,4.18
632,21.067,77.71,2.29
633,21.1,79.36,2.2
634,21.133,77.89,5.05
635,21.167,78.55,2.65
636,21.2,78.41,2.42
637,21.233,80.79,2.03
638,21.267,80.32,4.68
639,21.3,80.37,3.76
640,21.333,79.6,4.32
641,21.367,78.72,5.92
642,21.4,80.45,2.13
643,21.433,79.84,4.55
644,21.467,77.76,3.36
645,21.5,77.84,5.77
646,21.533,78.77,4.99
647,21.567,80.18,2.76
648,21.6,77.66,4.26
649,21.633,77.43,2.38
650,21.667,80.68,5.32
651,21.7,79.33,5.51
652,21.733,77.2,2.82
653,21.767,78.16,5.38
654,21.8,80.22,5.33
655,21.833,78.25,2.75
656,21.867,78.45,5.19
657,21.9,80.73,3.13
658,21.933,79.78,4.96
659,21.967,77.15,4.48
660,22.0,78.01,3.05
661,22.033,78.7,2.01
662,22.067,77.88,2.01
663,22.1,77.27,3.81
664,22.133,80.87,5.6
665,22.167,80.71,5.36
666,22.2,78.08,4.61
667,22.233,80.48,2.66
668,22.267,78.03,5.01
669,22.3,77.51,2.34
670,22.333,77.99,2.71
671,22.367,78.74,2.58
672,22.4,77.85,4.46
673,22.433,78.64,2.71
674,22.467,79.27,4.03
675,22.5,78.69,5.67
676,22.533,79.87,5.41
677,22.567,78.4,5.0
678,22.6,79.94,4.46
679,22.633,80.63,4.43
680,22.667,78.09,3.96
681,22.7,79.69,5.84
682,22.733,80.52,4.75
683,22.767,80.74,4.39
684,22.8,77.67,2.02
685,22.833,78.98,4.94
686,22.867,78.95,5.99
687,22.9,79.74,5.8
688,22.933,80.8,2.52
689,22.967,78.91,2.24
690,23.0,79.97,3.48
691,23.033,79.73,2.4
692,23.067,80.59,5.48
693,23.1,77.82,4.08
694,23.133,78.25,5.3
695,23.167,79.81,2.63
696,23.2,79.82,5.79
697,23.233,80.44,2.45
698,23.267,80.92,3.36
699,23.3,79.29,2.72
700,23.333,79.31,3.98
701,23.367,77.92,3.03
702,23.4,78.65,2.08
703,23.433,78.41,2.38
704,23.467,80.04,4.01
705,23.5,78.81,5.08
706,23.533,78.79,2.16
707,23.567,78.62,3.11
708,23.6,78.36,3.26
709,23.633,77.16,4.29
710,23.667,80.67,3.92
711,23.7,80.08,5.39
712,23.733,77.4,5.65
713,23.767,79.76,5.02
714,23.8,78.78,2.26
715,23.833,77.44,2.71
716,23.867,77.89,3.32
717,23.9,77.74,2.45
718,23.933,79.39,5.67
719,23.967,77.05,3.64
720,24.0,79.17,5.35
721,24.033,78.38,4.29
722,24.067,78.73,5.82
723,24.1,78.9,2.46
724,24.133,80.25,3.54
725,24.167,80.66,2.93
726,24.2,78.18,3.71
727,24.233,78.63,5.59
728,24.267,78.83,3.46
729,24.3,77.5,3.62
730,24.333,80.57,5.67
731,24.367,78.25,3.51
732,24.4,79.17,5.9
733,24.433,77.21,6.0
734,24.467,80.01,3.58
735,24.5,78.84,2.97
736,24.533,79.08,2.89
737,24.567,78.3,2.96
738,24.6,77.89,3.01
739,24.633,80.35,2.1
740,24.667,78.66,4.59
741,24.7,78.21,4.53
742,24.733,79.5,3.6
743,24.767,79.03,4.01
744,24.8,80.15,5.49
745,24.833,80.77,2.73
746,24.867,79.98,3.53
747,24.9,78.47,2.03
